Overall Record: 10-20   Conf: 5-13   Home: 4-10   Away: 6-9   Neutral: 0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Player,,GP-GS,MIN,,AVG,FG FG-FGA,,,,FG%,"3PT
3FG-FGA",3FG%,,FT FT-FTA,FT%,OFF,Rebounds DEF    TOT,,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG,,
04,"Pope, Bryce",,29-29,1029,,35.5,196-455,,,,0.431,56-177,0.316,,85-108,0.787,14,114,128,4.4,46,0,44,40,13,35,533,18.4,,
00,"Anderson III, Roddie",,30-27,939,,31.3,146-371,,,,0.394,25-84,0.298,,75-102,0.735,14,99,113,3.8,82,5,107,96,7,36,392,13.1,,
35,"Nwaokorie, Francis",,29-29,952,,32.8,131-267,,,,0.491,42-109,0.385,,68-94,0.723,71,134,205,7.1,83,3,34,46,22,30,372,12.8,,
33,"Brooks, J'Raan",,8-8,178,,22.3,32-61,,,,0.525,4-18,0.222,,11-21,0.524,13,35,48,6.0,26,1,12,14,0,4,79,9.9,,
25,"Tshimanga, Emmanuel",,24-10,463,,19.3,58-106,,,,0.547,0-0,0.000,,54-73,0.740,47,101,148,6.2,62,4,17,40,17,6,170,7.1,,
22,"Roquemore, Jace",,30-30,1001,,33.4,70-152,,,,0.461,26-60,0.433,,25-34,0.735,11,80,91,3.0,26,0,78,47,2,33,191,6.4,,
01,"Kosakowski, Jake",,29-16,662,,22.8,50-162,,,,0.309,48-155,0.310,,3-4,0.750,5,41,46,1.6,46,1,22,23,1,5,151,5.2,,
03,"DeGraaf, Justin",,25-1,283,,11.3,25-56,,,,0.446,5-22,0.227,,22-27,0.815,13,25,38,1.5,47,1,8,14,3,8,77,3.1,,
15,"Patterson, Quin",,23-0,171,,7.4,14-43,,,,0.326,12-38,0.316,,2-2,1.000,1,10,11,0.5,12,0,2,1,1,3,42,1.8,,
20,"Vulikic, Vuk",,26-0,358,,13.8,15-39,,,,0.385,10-30,0.333,,0-0,0.000,5,22,27,1.0,26,0,23,15,1,8,40,1.5,,
10,"McCormick, Camden",,19-0,114,,6.0,3-8,,,,0.375,0-2,0.000,,4-7,0.571,2,17,19,1.0,26,0,12,7,0,6,10,0.5,,
Total,,,30,6150,,205.0,740-1720,,,,0.430,228-695,0.328,,349-472,0.739,249,755,1004,33.5,482,15,359,362,67,174,2057,68.57,,
Opponents,,,,6150,,205.0,801-1788,,,,0.448,233-640,0.364,,354-487,0.727,301,803,1104,36.8,481,10,447,344,95,180,2189,72.97,,
Team Statistics                        UCSD             OPP          Conf           Date               Opponent                                             W/L               Score                      Att.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCORING,,,2057,,2189,,,,,,,11/07/22,,SEATTLE U,,,,,L,,,,71-85,,,,"1,386",,,
Points Per Game,,,68.6,,73.0,,,,,,,11/12/22,,SACRAMENTO ST.,,,,,L,,,,55-65,,,,"2,259",,,
Scoring Margin,,,-4.4,,–,,,,,,,11/15/22,,CALIFORNIA,,,,,W,,,,64-62,,,,"3,071",,,
