Overall Record: 30-1   Conf: 21-1   Home: 14-1   Away: 14-0   Neutral: 2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Player,GP-GS,,,MIN,,AVG,,FG FG-FGA,,,FG%,"3PT
3FG-FGA",3FG%,,FT FT-FTA,FT%,OFF,Rebounds DEF    TOT,,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG,,
02,"Roberts, Tyrell",31-31,,,997,,32.2,,205-427,,,0.480,111-240,0.463,,73-82,0.890,11,94,105,3.4,56,0,97,49,3,48,594,19.2,,
14,"Oshita, Christian",31-31,,,981,,31.6,,191-385,,,0.496,98-232,0.422,,67-98,0.684,40,164,204,6.6,70,2,53,39,5,18,547,17.6,,
44,"Hansen, Chris",16-9,,,323,,20.2,,72-132,,,0.545,24-61,0.393,,37-39,0.949,28,61,89,5.6,29,0,14,16,10,10,205,12.8,,
11,"Everman, Scott",31-31,,,698,,22.5,,115-222,,,0.518,40-115,0.348,,34-43,0.791,28,50,78,2.5,59,0,38,24,13,19,304,9.8,,
03,"Hadley, Gabe",31-0,,,569,,18.4,,95-206,,,0.461,63-158,0.399,,17-21,0.810,8,44,52,1.7,37,0,33,24,2,18,270,8.7,,
05,"Sullivan, Marek",31-22,,,800,,25.8,,106-160,,,0.663,12-40,0.300,,43-60,0.717,32,152,184,5.9,64,2,73,30,20,51,267,8.6,,
32,"Howell, Mikey",31-30,,,988,,31.9,,69-134,,,0.515,24-52,0.462,,44-66,0.667,13,99,112,3.6,61,0,215,72,6,45,206,6.6,,
25,"Tombe, Martin",20-0,,,106,,5.3,,10-24,,,0.417,8-21,0.381,,14-17,0.824,2,13,15,0.8,7,0,4,5,0,1,42,2.1,,
01,"Baxter, Hugh",28-0,,,233,,8.3,,20-44,,,0.455,2-13,0.154,,10-13,0.769,7,19,26,0.9,43,2,11,7,3,5,52,1.9,,
23,"Rasheed, Kaden",22-0,,,132,,6.0,,9-22,,,0.409,5-15,0.333,,8-13,0.615,3,15,18,0.8,15,0,8,9,2,9,31,1.4,,
12,"Pratt, Justin",15-0,,,58,,3.9,,8-17,,,0.471,1-6,0.167,,2-4,0.500,1,9,10,0.7,6,0,0,3,0,3,19,1.3,,
10,"Peterson, Connor",20-1,,,178,,8.9,,7-15,,,0.467,1-2,0.500,,5-11,0.455,3,20,23,1.2,14,0,17,15,1,7,20,1.0,,
33,"Ramsey, Trace",12-0,,,48,,4.0,,3-10,,,0.300,0-2,0.000,,4-5,0.800,1,7,8,0.7,8,0,4,4,0,1,10,0.8,,
24,"Diener, John",13-0,,,62,,4.8,,3-11,,,0.273,1-6,0.167,,2-2,1.000,1,8,9,0.7,6,0,1,1,1,1,9,0.7,,
00,"Taylor, Lunden",10-0,,,31,,3.1,,1-4,,,0.250,0-1,0.000,,4-6,0.667,1,4,5,0.5,3,0,3,5,0,1,6,0.6,,
15,"Johnson, Jeremy",4-0,,,21,,5.3,,1-6,,,0.167,0-2,0.000,,0-0,0.000,3,0,3,0.8,2,0,3,2,0,0,2,0.5,,
Total,,31,,,6225,,200.8,,915-1819,,,0.503,390-966,0.404,,364-480,0.758,208,796,1004,32.4,480,6,574,312,66,237,2584,83.35,,
Opponents,,,,,6225,,200.8,,765-1763,,,0.434,211-588,0.359,,334-480,0.696,234,719,953,30.7,510,4,349,415,49,157,2075,66.94,,
 Team Statistics                        UCSD             OPP          Conf           Date               Opponent                                             W/L               Score                      Att.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCORING,,2584,,,,2075,,,,,,,11/08/19,,vs Simon Fraser,,,,,,W,,,95-70,,,,101,,,
Points Per Game,,83.4,,,,66.9,,,,,,,11/09/19,,at Western Wash.,,,,,,W,,,76-69,,,,474,,,
Scoring Margin,,16.5,,,,–,,,,,,,11/11/19,,at Saint Martin's,,,,,,W,,,88-55,,,,438,,,
FIELD GOALS-ATT,,915-1819,,,,765-1763,,,,,,,11/19/19,,POINT LOMA,,,,,,W,,,88-63,,,,676,,,
Field Goal Pct,,0.503,,,,0.434,,,,,*,,11/21/19,,CAL ST. SAN MARCOS,,,,,,W,,,81-54,,,,615,,,
3 POINT FG-ATT,,390-966,,,,211-588,,,,,*,,11/24/19,,at Cal St. San B'dino,,,,,,W,,,86-77,,,,308,,,
3PT FG Pct,,0.404,,,,0.359,,,,,,,11/29/19,,vs Holy Names,,,,,,W,,,98-80,,,,135,,,
3PT Made Per Game,,12.6,,,,6.8,,,,,,,11/30/19,,at Notre Dame de Namur,,,,,,W,,,95-63,,,,145,,,
