Overall Record: 26-8   Conf: 17-5   Home: 14-1   Away: 7-6   Neutral: 5-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Player,,GP-GS,,,MIN,,AVG,,FG FG-FGA,,,,FG%,"3PT
3FG-FGA",,3FG%,FT FT-FTA,FT%,OFF,Rebounds DEF    TOT,,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG,,
14,"Oshita, Christian",,4-4,,,112,,28.0,,27-46,,,,0.587,16-27,,0.593,8-11,0.727,3,15,18,4.5,11,0,5,1,1,2,78,19.5,,
44,"Hansen, Chris",,34-34,,,897,,26.4,,172-316,,,,0.544,62-129,,0.481,90-104,0.865,58,217,275,8.1,72,3,34,56,37,21,496,14.6,,
01,"Bayne, Christian",,34-34,,,1079,,31.7,,170-343,,,,0.496,74-173,,0.428,77-83,0.928,34,130,164,4.8,76,2,94,61,8,40,491,14.4,,
02,"Roberts, Tyrell",,32-31,,,935,,29.2,,160-393,,,,0.407,74-210,,0.352,54-66,0.818,18,97,115,3.6,70,2,85,61,2,22,448,14.0,,
11,"Everman, Scott",,34-30,,,916,,26.9,,117-267,,,,0.438,74-198,,0.374,15-22,0.682,27,86,113,3.3,63,1,55,31,17,18,323,9.5,,
05,"Hadley, Gabe",,33-0,,,499,,15.1,,72-142,,,,0.507,54-111,,0.486,13-15,0.867,8,37,45,1.4,31,1,27,19,2,16,211,6.4,,
32,"Howell, Mikey",,34-32,,,820,,24.1,,69-149,,,,0.463,33-80,,0.413,41-53,0.774,7,76,83,2.4,46,0,108,48,3,31,212,6.2,,
15,"Johnson, Jeremy",,31-2,,,472,,15.2,,44-106,,,,0.415,11-44,,0.250,18-32,0.563,11,61,72,2.3,33,0,31,30,4,13,117,3.8,,
22,"Patton, Eric",,34-2,,,521,,15.3,,53-84,,,,0.631,4-10,,0.400,8-20,0.400,35,70,105,3.1,62,0,27,23,11,16,118,3.5,,
10,"Peterson, Connor",,30-0,,,320,,10.7,,24-50,,,,0.480,5-13,,0.385,22-24,0.917,6,24,30,1.0,22,0,35,28,2,9,75,2.5,,
25,"Tombe, Martin",,19-0,,,144,,7.6,,11-30,,,,0.367,10-27,,0.370,10-10,1.000,1,16,17,0.9,23,1,7,5,0,3,42,2.2,,
03,"Rico, Ben",,11-1,,,44,,4.0,,6-21,,,,0.286,4-14,,0.286,0-0,0.000,0,7,7,0.6,3,0,2,5,0,4,16,1.5,,
23,"Rasheed, Kaden",,19-0,,,91,,4.8,,4-12,,,,0.333,3-6,,0.500,6-9,0.667,3,14,17,0.9,12,0,3,3,3,6,17,0.9,,
Total,,,34,,,6850,,201.5,,929-1959,,,,0.474,424-1042,,0.407,362-449,0.806,251,904,1155,34.0,524,10,513,384,90,201,2644,77.76,,
Opponents,,,,,,6850,,201.5,,823-1947,,,,0.423,231-644,,0.359,375-537,0.698,309,812,1121,33.0,503,7,369,393,71,179,2252,66.24,,
 Team Statistics                        UCSD             OPP              Date               Opponent                                                                              Score                      Att.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCORING,,,2644,,,,2252,,,,,,11/09/18,,,vs Simon Fraser,,,,,,W,,,,69-54,,,,930,,,
Points Per Game,,,77.8,,,,66.2,,,,,,11/10/18,,,vs Western Washington,,,,,,W,,,,97-92,,,,482,,,
Scoring Margin,,,11.6,,,,–,,,,,,11/12/18,,,vs Saint Martin's,,,,,,W,,,,96-69,,,,218,,,
FIELD GOALS-ATT,,,929-1959,,,,823-1947,,,,,,11/14/18,,,at Point Loma,,,,,,L (OT),,,,73-75,,,,722,,,
Field Goal Pct,,,0.474,,,,0.423,,,,,*,11/20/18,,,vs Cal State San Bernardino,,,,,,W,,,,97-63,,,,301,,,
3 POINT FG-ATT,,,424-1042,,,,231-644,,,,,*,11/24/18,,,vs Chico State,,,,,,W,,,,84-68,,,,392,,,
3PT FG Pct,,,0.407,,,,0.359,,,,,*,11/29/18,,,at Cal State Monterey Bay,,,,,,W,,,,72-61,,,,339,,,
3PT Made Per Game,,,12.5,,,,6.8,,,,,*,12/01/18,,,at Cal State San Marcos,,,,,,W,,,,62-58,,,,22,,,
FREE THROWS-ATT,,,362-449,,,,375-537,,,,,*,12/06/18,,,vs San Francisco State,,,,,,W,,,,80-79,,,,855,,,
FT Pct,,,0.806,,,,0.698,,,,,,12/16/18,,,at Hawai'i Pacific,,,,,,W,,,,72-49,,,,185,,,
FT Made Per Game,,,10.6,,,,11.0,,,,,,12/17/18,,,vs Western Oregon,,,,,,W,,,,73-63,,,,162,,,
REBOUNDS,,,1155,,,,1121,,,,,,12/18/18,,,at Chaminade,,,,,,L,,,,64-70,,,,182,,,
Rebounds Per Game,,,34.0,,,,33.0,,,,,*,12/29/18,,,vs Humboldt State,,,,,,W,,,,85-62,,,,573,,,
