Overall Record: 21-11   Conf: 15-7   Home: 8-4   Away: 11-4   Neutral: 2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Player,,,GP-GS,,MIN,,AVG,,FG FG-FGA,,,,FG%,"3PT
3FG-FGA",,3FG%,FT FT-FTA,FT%,OFF,Rebounds DEF    TOT,,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG,,
14,"Oshita, Christian",,,32-32,,1067,,33.3,,175-383,,,,0.457,73-185,,0.395,97-129,0.752,42,177,219,6.8,88,3,63,68,9,21,520,16.3,,
01,"Bayne, Christian",,,31-30,,958,,30.9,,154-322,,,,0.478,34-92,,0.370,156-171,0.912,17,131,148,4.8,87,3,77,94,8,45,498,16.1,,
11,"Everman, Scott",,,32-23,,904,,28.3,,134-313,,,,0.428,78-214,,0.364,40-61,0.656,34,79,113,3.5,63,1,56,35,17,21,386,12.1,,
10,"Ballestero, Anthony",,,32-14,,779,,24.3,,70-166,,,,0.422,63-149,,0.423,36-44,0.818,5,36,41,1.3,36,0,69,23,1,22,239,7.5,,
33,"Shoemaker, Michael",,,32-16,,551,,17.2,,75-129,,,,0.581,17-40,,0.425,25-37,0.676,46,61,107,3.3,77,4,30,19,11,22,192,6.0,,
22,"Patton, Eric",,,20-19,,451,,22.6,,43-67,,,,0.642,2-9,,0.222,13-24,0.542,25,56,81,4.1,55,3,24,18,8,15,101,5.1,,
25,"Fraser, Kenny",,,27-5,,331,,12.3,,43-72,,,,0.597,2-10,,0.200,8-13,0.615,9,50,59,2.2,36,0,6,11,8,4,96,3.6,,
05,"Buaku, George",,,29-20,,606,,20.9,,31-107,,,,0.290,7-35,,0.200,26-42,0.619,8,41,49,1.7,58,0,49,22,6,19,95,3.3,,
32,"Howell, Mikey",,,32-0,,577,,18.0,,41-96,,,,0.427,12-41,,0.293,13-21,0.619,4,51,55,1.7,43,0,83,44,2,27,107,3.3,,
03,"Rico, Ben",,,17-0,,132,,7.8,,15-48,,,,0.313,7-31,,0.226,9-10,0.900,4,19,23,1.4,12,0,8,6,0,5,46,2.7,,
21,"Oosdyke, Brett",,,12-1,,47,,3.9,,4-15,,,,0.267,3-9,,0.333,4-10,0.400,6,5,11,0.9,8,0,2,3,1,0,15,1.3,,
